web_scraper_order,title,data,data2
1776328639-1,প্রধানমন্ত্রী প্রকৃত কৃষকের হাতেই কৃষক কার্ড দিয়েছেন প্রধানমন্ত্রী তারেক রহমান হাতে থেকে ‘কৃষক কার্ড’ নেওয়া সামাজিক যোগাযোগ মাধ্যমে ভাইরাল কবির হোসেন প্রকৃত কৃষক বলে জানিয়েছে জেলা প্রশাসনের ...,"১৬ এপ্রিল ২০২৬, ০২:৩৫ পিএম"
1776328639-2,শান মাসুদেই আস্থা রাখছে পাকিস্তান "পিসিবির একটি সূত্র জানিয়েছে সিরিজের সূচি চূড়ান্ত হওয়ার পরই অধিনায়ক ও কোচ সংক্রান্ত আনুষ্ঠানিক ঘোষণা দেওয়া হবে। পরিকল্পনা অনুযায়ী, আগামী ...","১৬ এপ্রিল ২০২৬, ০২:২৯ পিএম"
1776328639-3,"আ. লীগ আমলে বিসিএস ক্যাডার নিয়োগে দলীয়করণ, তদন্ত করে ব্যবস্থা",আওয়ামী লীগের সময় বিসিএস ক্যাডার নিয়োগে দুর্নীতি ও দলীয়করণের বিষয়ে দুদকসহ আইন প্রয়োগকারী সংস্থাগুলো অনুসন্ধান ও তদন্ত করছে বলে জানিয়েছেন ...,"১৬ এপ্রিল ২০২৬, ০২:৩০ পিএম"
1776328639-4,সম্রাট বাবরের সঙ্গে প্রধানমন্ত্রীর তুলনা করলেন স্বাস্থ্যমন্ত্রী,ভারতীয় উপমহাদেশে মুঘল সাম্রাজ্যের প্রতিষ্ঠাতা সম্রাট বাবরের সঙ্গে প্রধানমন্ত্রী তারেক রহমানের তুলনা করেছেন স্বাস্থ্য ও পরিবার কল্যাণ মন্ত্রী সরদার মো. ...,"১৬ এপ্রিল ২০২৬, ০২:২৭ পিএম"
1776328639-5,১১ দলের নতুন কর্মসূচি ঘোষণা,জুলাই সনদ অনুযায়ী সংস্কারের লক্ষ্যে গণভোটের রায় বাস্তবায়নের দাবিতে আগামী ১৮ এপ্রিল থেকে আগামী ২ মে পর্যন্ত নতুন কর্মসূচি ঘোষণা ...,"১৬ এপ্রিল ২০২৬, ০২:১৭ পিএম"
1776328639-6,ফাইন্যান্সিয়াল টাইমসের দাবি  চীনা স্যাটেলাইট দিয়ে মার্কিন ঘাঁটিতে ইরানের নজরদারি,"জানা গেছে, ‘আর্থ আই কোম্পানি’ নামে একটি চীনা প্রতিষ্ঠান এই স্যাটেলাইটটি তৈরি ও উৎক্ষেপণ করেছিল। চীনের এই প্রতিষ্ঠানটি মূলত ‘ইন-অরবিট ...","১৬ এপ্রিল ২০২৬, ০২:১৫ পিএম"
1776328639-7,বার্সেলোনা ওপেন থেকে সরে দাঁড়ালেন আলকারাজ,ডান হাতের ইনজুরির কারণে বার্সেলোনা ওপেন থেকে নাম প্রত্যাহার করেছেন বর্তমান বিশ্বের দুই নম্বর টেনিস খেলোয়াড় কার্লোস আলকারাজ। আয়োজকরা বুধবার ...,"১৬ এপ্রিল ২০২৬, ০২:১০ পিএম"
1776328639-8,ছেলের মৃত্যুর খবরের তিন ঘণ্টা পর মারা গেলেন মা,চাঁপাইনবাবগঞ্জে ছেলের মৃত্যুর তিন ঘণ্টার ব্যবধানে মায়ের মৃত্যুর খবর পাওয়া গেছে। তাদের দুজনকে একই কবরস্থানে পাশাপাশি দাফন করা হয়েছে। ...,"১৬ এপ্রিল ২০২৬, ০২:১৩ পিএম"
1776328639-9,৪ দিনের ব্যবধানে মোহাম্মদপুরে ফের খুন,রাজধানীর মোহাম্মদপুরে আসাদুল হক ওরফে লম্বু আসাদুল (২৮) নামে এক যুবককে ছুরিকাঘাতে হত্যা করেছে দুর্বৃত্তরা। ...,"১৬ এপ্রিল ২০২৬, ০১:৫৮ পিএম"
1776328639-10,ডোপ টেস্টের তালিকায় দুই ভারতীয় তারকা ক্রিকেটার,"ন্যাশনাল অ্যান্টি ডোপিং এজেন্সি (নাডা) ২০২৬ সালের জন্য ৩৪৮ জন খেলোয়াড়ের একটি টেস্টিং পুল প্রকাশ করেছে, যেখানে ভারতের টি-টোয়েন্টি বিশ্বকাপজয়ী ...","১৬ এপ্রিল ২০২৬, ০১:৫৬ পিএম"
